sitename,metadata_source,swc_original,badm_swc_variable,swc_candidate_used,swc_badm_match_type,swc_height,swc_instrument_model,swc_instrument_model2,swc_start_date,swc_comment,swc,swc_f,swc_qc,ta,vpd,rh,nee,gpp,reco,le,fc,p,netrad,sw_in,netrad_f,p_f,ta_f,vpd_f,rh_f,sw_in_f,nee_f,gpp_f,reco_f,le_f,le_qc,ta_qc,vpd_qc,nee_qc,sw_qc
US-AUD,Ameriflux,SWC_PI_1,SWC_PI_1,SWC_PI_1,exact,-0.1,SWC-TDR; SWC-Other,NA,201109,after 200911 Acclima; 200206 - Stevens Hydra probe,SWC_PI_1,NA,NA,TA,VPD_PI,RH,NEE_PI,NA,NA,LE,FC,P,NETRAD,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-CHR,Ameriflux,SWC_PI_1,SWC_PI_1,SWC_PI_1,exact,-0.05,SWC-Other,NA,NA,Stevens Hydra II,SWC_PI_1,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NETRAD,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-DK2,Ameriflux,SWC_1_1_1,SWC_1_1_1,SWC_1_1_1,exact,-0.1,SWC-TDR,NA,NA,NA,SWC_1_1_1,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,NA,NA,SW_IN,NETRAD_PI_F,P_PI_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-DK3,Ameriflux,SWC_PI_F_1_1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_PI_F_1_1_1,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NA,SW_IN,NETRAD_PI_F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-IB2,Ameriflux,SWC_1_1_1,SWC_1_1_1,SWC_1_1_1,exact,-0.025,SWC-Other,NA,20041006,REBS SMP-1,SWC_1_1_1,NA,NA,TA,NA,RH,NA,NA,NA,LE,FC,P,NETRAD,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-JO1,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-JO2,Ameriflux,SWC_1_1_1,SWC_1_1_1,SWC_1_1_1,exact,-0.05,SWC-TDR,NA,NA,NA,SWC_1_1_1,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NETRAD,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-JO2,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-KM2,Ameriflux,SWC,SWC,SWC,exact,NA,NA,NA,NA,Please complete,SWC,NA,NA,NA,NA,NA,NA,NA,NA,LE,FC,NA,NA,NA,NA,NA,TA_PI_F,VPD_PI_F,RH_PI_F,SW_IN_PI_F,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-KM3,Ameriflux,SWC,SWC,SWC,exact,NA,NA,NA,NA,Please complete,SWC,NA,NA,NA,NA,NA,NA,NA,NA,LE,FC,NA,NA,NA,NA,NA,TA_PI_F,VPD_PI_F,RH_PI_F,SW_IN_PI_F,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-KON,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-LL1,Ameriflux,SWC,SWC,SWC,exact,-0.2,SWC-FDR,NA,2008,Campbell CS-616 - Integrates top 20 cm,SWC,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NA,NA,NETRAD_PI_F,NA,NA,NA,NA,SW_IN_PI_F,NEE_PI_F,GPP_PI_F,RECO_PI_F,NA,NA,NA,NA,NA,NA
US-LL2,Ameriflux,SWC,SWC,SWC,exact,-0.2,SWC-FDR,NA,NA,Campbell CS-616 integrating over top 20 cm,SWC,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NA,NA,NETRAD_PI_F,NA,NA,NA,NA,SW_IN_PI_F,NEE_PI_F,GPP_PI_F,RECO_PI_F,NA,NA,NA,NA,NA,NA
US-LL3,Ameriflux,SWC,SWC,SWC,exact,-0.08,SWC-FDR,NA,NA,Campbell CS-616,SWC,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NA,NA,NETRAD_PI_F,NA,NA,NA,NA,SW_IN_PI_F,NEE_PI_F,GPP_PI_F,RECO_PI_F,NA,NA,NA,NA,NA,NA
US-ME2,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-ME6,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-MMS,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-MO2,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-MOZ,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-NC2,Ameriflux,SWC_1_1_1,SWC_1_1_1,SWC_1_1_1,exact,-0.3,SWC-TDR,NA,NA,NA,SWC_1_1_1,NA,NA,TA_1_1_1,VPD_PI_1_1_1,RH_1_1_1,NEE_PI_1_1_1,NA,NA,LE_1_1_1,FC_1_1_1,P_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-NC3,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-ONA,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-RO4,Fluxnet,SWC_F_MDS_1,SWC,SWC,candidate_rank_3,-0.1,SWC-TDR,NA,20201103,Campbell Scientific CS650; Campbell Scientific TDR100,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-SP1,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,NA,NETRAD,NA,NA,P_F,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-SRC,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-SRG,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-SRM,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-SRS,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-TON,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-UMB,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-UMD,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,NA,NETRAD,NA,NA,P_F,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-VAR,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-WHS,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-WKG,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-WRC,Ameriflux,SWC_1,NA,NA,NA,NA,NA,NA,NA,NA,SWC_1,NA,NA,TA,VPD_PI,RH,NA,NA,NA,LE,FC,P,NA,SW_IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-XAE,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-XCL,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-XDL,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-XKZ,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-XMB,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
US-XSE,Fluxnet,SWC_F_MDS_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWC_F_MDS_1,SWC_F_MDS_1_QC,NA,NA,RH,NEE_VUT_REF,GPP_NT_VUT_REF,RECO_NT_VUT_REF,NA,NA,P,NETRAD,NA,NA,NA,TA_F,VPD_F,NA,SW_IN_F,NA,NA,NA,LE_F_MDS,LE_F_MDS_QC,TA_F_QC,VPD_F_QC,NEE_VUT_REF_QC,SW_IN_F_QC
